location,title,name,type_appoitment,pay_plan,pay_level_grade,tenure,expires,agency,big_office,little_office,year
"Washington, DC","Director, Office of Budget and Program Performance ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Budget and Pro,2004
"Washington, DC","Director, Office of Program Review ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Budget and Pro,2004
"Washington, DC","Director, Office of Financial Management ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Budget and Pro,2004
"Washington, DC",General Counsel ,Jeffrey A. Rosen,PAS,EX,IV,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the General Counsel,2004
"Washington, DC",Deputy General Counsel ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the General Counsel,2004
"Washington, DC",Senior Counsel for Dispute Resolution ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the General Counsel,2004
"Washington, DC","Assistant General Counsel for Environmental, Civil Rights and General Law ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the General Counsel,2004
"Washington, DC",Assistant General Counsel for Litigation ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the General Counsel,2004
"Washington, DC",Assistant General Counsel for Legislation ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the General Counsel,2004
"Washington, DC",Assistant General Counsel for Regulation and Enforcement ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the General Counsel,2004
"Washington, DC",Assistant General Counsel for International Law ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the General Counsel,2004
"Washington, DC",Assistant General Counsel for Aviation Enforcement and Proceedings ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the General Counsel,2004
"Washington, DC",Assistant Secretary for Governmental Affairs ,Nicole R. Nason,PAS,EX,IV,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Governmental A,2004
"Washington, DC",Deputy Assistant Secretary for Governmental Affairs ,Shane Karr,,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Governmental A,2004
"Washington, DC",Deputy Assistant Secretary for Governmental Affairs ,Michael Wascom,SC,GS,15,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Governmental A,2004
"Washington, DC",Associate Director for Governmental Affairs ,Simon G. Gros,SC,GS,14,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Governmental A,2004
"Washington, DC",Associate Director for Governmental Affairs ,Jessie Torres,SC,GS,13,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Governmental A,2004
"Washington, DC",Associate Director for Intergovernmental Affairs ,David Kelly,SC,GS,14,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Governmental A,2004
"Washington, DC",Assistant Secretary for Transportation Policy ,Emil H. Frankel,PAS,EX,IV,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Transportation,2004
"Washington, DC",Deputy Assistant Secretary for Transportation Policy ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Transportation,2004
"Washington, DC",Deputy Assistant Secretary for Transportation Policy ,Tyler Duvall,,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Transportation,2004
"Washington, DC","Director, Office of Radionavigation and Positioning Staff ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Transportation,2004
"Washington, DC","Director, Office of Safety, Energy and Environment ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Transportation,2004
"Washington, DC","Director, Office of Economic and Strategic Analysis ",Vacant,,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Transportation,2004
"Washington, DC",Special Assistant to the Assistant Secretary ,Tillie Anne Fowler,SC,GS,12,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Transportation,2004
"Washington, DC",Assistant Secretary for Aviation and International Affairs ,Karan K. Bhatia,PAS,EX,IV,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Aviation and I,2004
"Washington, DC",Deputy Assistant Secretary for Aviation and International Affairs ,Michael Reynolds,,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Aviation and I,2004
"Washington, DC",Deputy Assistant Secretary for Aviation and International Affairs ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Aviation and I,2004
"Washington, DC",Executive Assistant ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Aviation and I,2004
"Washington, DC","Director, Office of Planning and Special Programs Staff ",Vacant,,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Aviation and I,2004
"Washington, DC","Director, Office of International Transportation and Trade ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Aviation and I,2004
"Washington, DC","Deputy Director, Office of International Transportation and Trade ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Aviation and I,2004
"Washington, DC","Director, Office of International Aviation ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Aviation and I,2004
"Washington, DC","Deputy Director, Office of International Aviation ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Aviation and I,2004
"Washington, DC","Director, Office of Aviation Analysis ",Vacant,,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Aviation and I,2004
"Washington, DC","Director, Office of Aviation and International Economics ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Aviation and I,2004
"Washington, DC",Special Assistant ,Robert DeHaan,SC,GS,15,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Aviation and I,2004
"Washington, DC",Deputy Assistant Secretary for Administration ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Administration,2004
"Washington, DC",Project Manager ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Administration,2004
"Washington, DC","Departmental Director, Office of Human Resource Management ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Administration,2004
"Washington, DC","Director, Office of Security and Administrative Management ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Administration,2004
"Washington, DC","Director, Office of Transportation and Facilities ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Administration,2004
"Washington, DC","Director, Office of Intelligence and Security ",Vacant,,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of Intelligence and Security,2004
"Washington, DC",Inspector General ,Kenneth M. Mead,PAS,EX,IV,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF INSPECTOR GENERAL,Immediate Office of the Inspector General,2004
"Washington, DC","Deputy Assistant Inspector General for Hazardous Materials, Security and Special Programs ",Robin K. Hunt,TA,ES,,,10/05/05,DEPARTMENT OF TRANSPORTATION,OFFICE OF INSPECTOR GENERAL,"Assistant Inspector General for Hazardous Materials,",2004
"Washington, DC",Administrator ,Mary E. Peters,PAS,EX,II,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Office of the Administrator,2004
"Washington, DC",Deputy Administrator ,J. Richard Capka,,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Office of the Administrator,2004
"Washington, DC",Special Assistant ,Ruth Weber,SC,GS,15,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Office of the Administrator,2004
"Washington, DC",Associate Administrator for Administration ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Administration,2004
"Washington, DC","Director, Office of Human Resources ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Administration,2004
"Washington, DC","Director, Office of Information and Management Services ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Administration,2004
"Lakewood, CO",Associate Administrator for Infrastructure ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Infrastructure,2004
"Washington, DC","Director, Office of Program Administration ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Infrastructure,2004
"Washington, DC","Director, Office of Bridge Technology ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Infrastructure,2004
"Washington, DC","Director, Office of Pavement Technology ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Infrastructure,2004
"Washington, DC","Director, Office of Asset Management ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Infrastructure,2004
"Washington, DC",Associate Administrator for Operations ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Operations,2004
"Washington, DC","Director, Office of Freight Management and Operations ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Operations,2004
"Washington, DC","Director, Office of Transportation Management ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Operations,2004
"Washington, DC",Program Manager for the Intelligent Transportation Systems Programs Office ,Vacant,,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Operations,2004
"Washington, DC","Associate Administrator for Planning, Environment, and Realty ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,"Associate Administrator for Planning, Environment an",2004
"Washington, DC","Director, Office of Interstate and Border Planning ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,"Associate Administrator for Planning, Environment an",2004
"Washington, DC","Director, Office of Project Development and Environmental Review ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,"Associate Administrator for Planning, Environment an",2004
"Washington, DC","Director, Office of Natural and Human Environment ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,"Associate Administrator for Planning, Environment an",2004
"Washington, DC","Director, Office of Planning ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,"Associate Administrator for Planning, Environment an",2004
"Washington, DC","Director, Office of Safety Program Integration and Delivery ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Safety,2004
"Washington, DC","Director, Office of Safety Design ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Safety,2004
"Washington, DC",Associate Administrator for Professional Development ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Professional Development,2004
"Washington, DC","Director, National Highway Institute ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Professional Development,2004
"Washington, DC","Associate Administrator for Research, Development and Technology ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,"Associate Administrator for Research, Development an",2004
"McLean, VA","Director, Office of Program Development and Evaluation ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,"Associate Administrator for Research, Development an",2004
"Washington, DC","Director, Office of Infrastructure Research and Development ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,"Associate Administrator for Research, Development an",2004
"Washington, DC","Director, Office of Safety Research and Development ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,"Associate Administrator for Research, Development an",2004
"McLean, VA","Director, Office of Operations Research and Development ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,"Associate Administrator for Research, Development an",2004
"Washington, DC",Associate Administrator for Federal Lands Highway Programs ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Federal Lands Highway Pr,2004
"Sterling, VA","Federal Lands Highway Division Engineer, Eastern ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Federal Lands Highway Pr,2004
"Lakewood, CO","Federal Lands Highway Division Engineer, Central ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Federal Lands Highway Pr,2004
"Vancouver, WA","Federal Lands Highway Division Engineer, Western ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Federal Lands Highway Pr,2004
"Washington, DC",Associate Administrator for Policy ,Charles D. Nottingham,,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Policy,2004
"Washington, DC","Director, Office of International Programs ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Policy,2004
"Washington, DC","Director, Office of Highway Policy Information ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Policy,2004
"Washington, DC","Director, Office of Transportation Policy Studies ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Policy,2004
"Washington, DC","Director, Office of Legislation and Strategic Planning ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Policy,2004
"Washington, DC",Special Assistant ,Manuel Cuan,SC,GS,14,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Policy,2004
"Washington, DC",Special Assistant ,Jennifer M. Southwick,SC,GS,14,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Policy,2004
"Washington, DC",Chief Counsel ,David James Gribbin IV,,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Chief Counsel,2004
"Washington, DC",Deputy Chief Counsel ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Chief Counsel,2004
"Washington, DC",Assistant Chief Counsel ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Chief Counsel,2004
"Washington, DC",Special Counsel ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Chief Counsel,2004
"Washington, DC",Special Assistant ,Suhail Kahn,SC,GS,14,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Chief Counsel,2004
"Washington, DC",Associate Administrator for Civil Rights ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Civil Rights,2004
"Washington, DC",Associate Administrator for Public Affairs ,Brian C. Keeter,,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Associate Administrator for Public Affairs,2004
"Atlanta, GA","Director of Field Services, South ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Field Services,2004
"San Francisco, CA","Director of Field Services, West ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Field Services,2004
"Baltimore, MD","Director of Field Services, East ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Field Services,2004
"Sacramento, CA","Division Administrator, California ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Field Services,2004
"Washington, DC","Division Administrator, Florida ",Vacant,,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Field Services,2004
"Washington, DC",Administrator ,Annette M. Sandberg,PAS,EX,III,,,DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,Immediate Office of the Administrator,2004
"Washington, DC",Deputy Administrator ,Warren E. Hoemann,,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,Immediate Office of the Administrator,2004
"Washington, DC","Director, Office of Communications and Senior Policy Advisor to the Administrator ",William Macleod,SC,GS,15,,,DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,Immediate Office of the Administrator,2004
"Washington, DC",Special Assistant to the Administrator for Intergovernmental Affairs ,Megan Markel,SC,GS,14,,,DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,Immediate Office of the Administrator,2004
"Washington, DC",Chief Counsel ,Brigham A. McCown,,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,Office of the Chief Counsel,2004
"Washington, DC",Deputy Chief Counsel ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,Office of the Chief Counsel,2004
"Washington, DC",Associate Administrator for Administration ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,Associate Administrator for Administration,2004
