location,title,name,type_appoitment,pay_plan,pay_level_grade,tenure,expires,agency,big_office,little_office,year
"Hanford, WA",Assistant Manager for Facility Transition,"Lloyd L. Piper, II",ES,CA,..........,..........,........,Department of Energy,Richland Operations Office,,1996
"Aiken, SC","Assistant Manager for Health, Safety and Technical Support",Frank R. McCoy,ES,CA,..........,..........,........,Department of Energy,Savannah River Operations Office,,1996
"Aiken, SC",Assistant Manager for High Level Waste,Anthony L. Watkins,ES,CA,..........,..........,........,Department of Energy,Savannah River Operations Office,,1996
"Aiken, SC",Assistant Manager for Material and Facility Stabilization,Leonard C. Sjostrom,ES,CA,..........,..........,........,Department of Energy,Savannah River Operations Office,,1996
"Aiken, SC",Assistant Manager for National Security,Edwin L. Wilmot,ES,CA,..........,..........,........,Department of Energy,Savannah River Operations Office,,1996
"Las Vegas, NV",Assistant Manager for National Security,Joseph N. Fiore,ES,CA,..........,..........,........,Department of Energy,Nevada Operations Office,,1996
"Aiken, SC","Assistant Manager for Science, Technology & Business Development",Judith L. Bostock,ES,CA,..........,..........,........,Department of Energy,Savannah River Operations Office,,1996
"Golden, CO","Assistant Manager for Strategy, Integration and Guidance",David A. Brockman,ES,CA,..........,..........,........,Department of Energy,Rocky Flats Field Office,,1996
"Hanford, WA",Assistant Manager for Tank Waste Remediation System,Jackson E. Kinzer,ES,CA,..........,..........,........,Department of Energy,Richland Operations Office,,1996
"Las Vegas, NV",Assistant Manager for Technical Services,Kathy D. Izell,ES,CA,..........,..........,........,Department of Energy,Nevada Operations Office,,1996
"Richland, WA",Assistant Manager for Technology Management,Robert M. Rosselli,ES,CA,..........,..........,........,Department of Energy,Richland Operations Office,,1996
"Hanford, WA",Assistant Manager for Waste Management,Charles A. Hansen,ES,CA,..........,..........,........,Department of Energy,Richland Operations Office,,1996
"Albuquerque, NM","Assistant Manager, Office of Energy, Science & Technology",Stephen J. Guidice,ES,CA,..........,..........,........,Department of Energy,Albuquerque Operations Office,,1996
"Albuquerque, NM","Assistant Manager, Office of Environment and Project Management","William J. Arthur, III",ES,CA,..........,..........,........,Department of Energy,Albuquerque Operations Office,,1996
"Idaho Falls, ID","Assistant Manager, Office of Laboratory Development",Gerald C. Bowman,ES,CA,..........,..........,........,Department of Energy,Idaho Operations Office,,1996
"Albuquerque, NM","Assistant Manager, Office of National Defense Programs",Rush O. Inlow,ES,CA,..........,..........,........,Department of Energy,Albuquerque Operations Office,,1996
"Washington, DC",Assistant Secretary,Derrick L. Forrister,EX,PAS,IV,..........,........,Department of Energy,"Immediate Office of the Asst Secy for Cong, Public & Intergovnt'l Aff",,1996
"Washington, DC",Assistant Secretary,Christine A. Ervin,EX,PAS,IV,..........,........,Department of Energy,Immediate Office of the Assistant Secretary for Energy Efficiency,,1996
"Washington, DC",Assistant Secretary,Alvin L. Alm,EX,PAS,IV,..........,........,Department of Energy,Immediate Office of the Asst Secretary for Environmental Management,,1996
"Washington, DC",Assistant Secretary, Vacant,EX,PAS,IV,..........,........,Department of Energy,Immediate Office of the Assistant Secretary for Policy,,1996
"Washington, DC",Assistant Secretary,Victor H. Reis,EX,PAS,IV,..........,........,Department of Energy,Immediate Office of the Assistant Secretary for Defense Programs,,1996
"Washington, DC",Assistant Secretary,Tara J. O'Toole,EX,PAS,IV,..........,........,Department of Energy,"Immediate Office of the Asst Secy for Environment, Safety & Health",,1996
"Washington, DC",Assistant Secretary,Patricia F. Godley,EX,PAS,IV,..........,........,Department of Energy,Immediate Office of the Assistant Secretary for Fossil Energy,,1996
"Washington, DC",Assistant Secretary,Archer L. Durham,EX,PAS,IV,..........,........,Department of Energy,Immediate Office of Asst Secretary for Human Resources and Admin,,1996
"Germantown, MD",Associate Dep Asst Secretary for Technical and Environmental Support,Henry K. Garson,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Program Support,,1996
"Germantown, MD",Associate Deputy Assistant Secretary,John E. Baublitiz,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Environmental Restoration,,1996
"Washington, DC",Associate Deputy Assistant Secretary for Building Technologies,Mary Fowler,ES,CA,..........,..........,........,Department of Energy,"Deputy Asst Secretary for Building Technology, State & Community Prog",,1996
"Washington, DC",Associate Deputy Assistant Secretary for Clean Coal,Clarence L. Miller,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary Coal Technology,,1996
"Washington, DC",Associate Deputy Assistant Secretary for Communications,Patrick R. Dorinson,ES,NA,..........,..........,........,Department of Energy,"Immediate Office of the Asst Secy for Cong, Public & Intergovnt'l Aff",,1996
"Washington, DC",Associate Deputy Assistant Secretary,Louis V. Divone,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Industrial Technologies,,1996
"Germantown, MD",Associate Deputy Assistant Secretary for Oversight,Neal Goldenberg,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Oversight,,1996
"Germantown, MD",Associate Deputy Assistant Secretary for Reactor Transition,Edson C. Brolin,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Material and Facility Stabilization,,1996
"Germantown, MD",Associate Deputy Assistant Secretary for Research and Development,Howard Feibus,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary Coal Technology,,1996
"Germantown, MD",Associate Deputy Assistant Secretary for Safety and Quality Assurance,Martin S. Mathamel,ES,TA,..........,..........,10/17/1997,Department of Energy,Deputy Assistant Secretary for Worker Health and Safety,,1996
"Germantown, MD",Associate Deputy Assistant Secretary for Technology Development,Gerald G. Boyd,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Science and Technology,,1996
"Washington, DC",Associate Deputy Assistant Secretary for Transportation Technologies,Richard F. Moorer,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Transportation Technologies,,1996
"Washington, DC",Associate Deputy Director for External Coordination,James L. Ford,ES,CA,..........,..........,........,Department of Energy,Immediate Office of the Director Nonproliferation & Nat'l Security,,1996
"Washington, DC",Associate Deputy Director for Quality,Stephen E. Bacher,ES,CA,..........,..........,........,Department of Energy,Immediate Office of the Director Nonproliferation & Nat'l Security,,1996
"Washington, DC",Associate Deputy Secretary for Energy Programs,Charles K. Simpson,ES,NA,..........,..........,........,Department of Energy,Office of the Deputy Secretary,,1996
"Washington, DC",Associate Deputy Secretary for Field Management,"Donald W. Pearman, Jr.",ES,CA,..........,..........,........,Department of Energy,Immediate Office of the Associate Deputy Secretary for Field Mgmt,,1996
"Washington, DC",Associate Director,Kristen L. Suokko,GS,SC,15,..........,........,Department of Energy,Office of International Nuclear Safety,,1996
"Washington, DC",Associate Director,William D. Magwood,GS,SC,15,..........,........,Department of Energy,Office of Planning and Analysis,,1996
"Germantown, MD",Associate Director for Basic Energy Sciences,Paricia M. Dehmer,ES,CA,..........,..........,........,Department of Energy,Office of Basic Energy Sciences,,1996
"Germantown, MD",Associate Director for Fusion Energy Sciences,Nelia A. Davies,ES,CA,..........,..........,........,Department of Energy,Office of Fusion Energy Sciences,,1996
"Germantown, MD",Associate Director for Health & Environmental Research,Aristides A. Patrinos,ES,CA,..........,..........,........,Department of Energy,Office of Health and Environmental Research,,1996
"Germantown, MD",Associate Director for High Energy and Nuclear Physics, Vacant,ES,..........,..........,..........,........,Department of Energy,Office of High Energy and Nuclear Physics,,1996
"Philadelphia, PA",Associate Director for Project Management,Ralph A. Carabetta,ES,CA,..........,..........,........,Department of Energy,Pittsburgh Energy Technology Center,,1996
"Bruceton, PA",Associate Director for Research & Development,Frederick R. Brown,ES,CA,..........,..........,........,Department of Energy,Pittsburgh Energy Technology Center,,1996
"Bruceton, PA",Associate Director for the Office of Clean Coal Technology,"Joseph P. Strakey, Jr.",ES,CA,..........,..........,........,Department of Energy,Pittsburgh Energy Technology Center,,1996
"Washington, DC",Associate for Scientific Policy Planning,David W. Cheney,ES,NA,..........,..........,........,Department of Energy,Immediate Office of the Director Energy Research,,1996
"Oakland, CA",Associate Manager for Environmental Management,James T. Davis,ES,CA,..........,..........,........,Department of Energy,Oakland Operations Office,,1996
"Oakland, CA",Associate Manager for National Security, Vacant,ES,..........,..........,..........,........,Department of Energy,Oakland Operations Office,,1996
"Oakland, CA",Associate Manager for Technical Management,William C. Reddick,ES,CA,..........,..........,........,Department of Energy,Oakland Operations Office,,1996
"Albuquerque, NM",Chief Counsel,Charles S. Przybylek,ES,CA,..........,..........,........,Department of Energy,Albuquerque Operations Office,,1996
"Idaho Falls, ID",Chief Counsel,Ralph R. Throckmorton,ES,CA,..........,..........,........,Department of Energy,Idaho Operations Office,,1996
"Oakland, CA",Chief Counsel,Peter A. Bernard,ES,CA,..........,..........,........,Department of Energy,Oakland Operations Office,,1996
"Oak Ridge, TN",Chief Counsel,Jennifer J. Fowler,ES,CA,..........,..........,........,Department of Energy,Oak Ridge Operations Office,,1996
"Richland, WA",Chief Counsel,Susan R. Brechbill,ES,CA,..........,..........,........,Department of Energy,Richland Operations Office,,1996
"Aiken, SC",Chief Counsel,David G. Darugh,ES,CA,..........,..........,........,Department of Energy,Savannah River Operations Office,,1996
"Washington, DC",Chief Financial Officer, Vacant,EX,PAS,IV,..........,........,Department of Energy,Immediate Office of the Chief Financial Officer,,1996
"Washington, DC",Chief of Staff,Dan W. Reicher,ES,NA,..........,..........,........,Department of Energy,Immediate Office of the Secretary,,1996
"Washington, DC",Chief of Staff,Brian T. Castelli,ES,NA,..........,..........,........,Department of Energy,Immediate Office of the Assistant Secretary for Energy Efficiency,,1996
"Washington, DC",Chief of Staff,Douglas J. Bielan,ES,CA,..........,..........,........,Department of Energy,Immediate Office of Asst Secretary for Human Resources and Admin,,1996
"Portland, OR",Chief Operating Officer,Sue F. Hickey,ES,CA,..........,..........,........,Department of Energy,BONNEVILLE POWER ADMINISTRATION,,1996
"Washington, DC",Confidential Assistant,Penny M. Storms,GS,SC,10,..........,........,Department of Energy,Immediate Office of the General Counsel,,1996
"Washington, DC",Confidential Assistant,Elaine B. Heath,GS,SC,12,..........,........,Department of Energy,Immediate Office of the Asst Secretary for Environmental Management,,1996
"Washington, DC",Confidential Staff Assistant,Eugene Tates,GS,SC,13,..........,........,Department of Energy,Office of Small and Disadvantaged Business Utilization,,1996
"Washington, DC",Defense Nuclear Facilities Safety Board Team Leader,Max J. Clausen,ES,CA,..........,..........,........,Department of Energy,Immediate Office of the Associate Deputy Secretary for Field Mgmt,,1996
"Germantown, MD",Dep Associate Dep Asst Secy for Technical and Environmental Support,"Willie F. Hensley, Jr.",ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Program Support,,1996
"Washington, DC",Departmental Representative to Defense Nuclear Facilities Safety Bd,Mark B. Whitaker,ES,CA,..........,..........,........,Department of Energy,"Immediate Office of the Asst Secy for Environment, Safety & Health",,1996
"Portland, OR",Deputy Administrator & Deputy Chief Executive Officer,John S. Robertson,ES,CA,..........,..........,........,Department of Energy,Bonneville Power Administration,,1996
"Washington, DC","Deputy Administrator, Energy Information Administration",Lawrence A. Pettis,ES,CA,..........,..........,........,Department of Energy,Immediate Office of the Administrator Energy Information Admin,,1996
"Golden, CO",Deputy Assistant Manager for Environmental Compliance,James K. Hartman,ES,CA,..........,..........,........,Department of Energy,Rocky Flats Field Office,,1996
"Idaho Falls, ID","Deputy Assistant Manager, Office of Program Execution",Robert M. Stallman,ES,CA,..........,..........,........,Department of Energy,Idaho Operations Office,,1996
"Washington, DC",Deputy Assistant Secretary,Orin F. Pearson,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Nuclear and Facility Management,,1996
"Washington, DC",Deputy Assistant Secretary,Raymond P. Berube,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Environment,,1996
"Washington, DC",Deputy Assistant Secretary,Richard D. Furiga,ES,CA,..........,..........,........,Department of Energy,"Deputy Assistant Secretary, Strategic Petroleum Reserve",,1996
"Washington, DC",Deputy Assistant Secretary,Marvin I. Singer,ES,CA,..........,..........,........,Department of Energy,Deputy Asst Secretary for Advanced Research & Special Technologies,,1996
"Washington, DC",Deputy Assistant Secretary,Timothy M. Dirks,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Human Resources,,1996
"Washington, DC",Deputy Assistant Secretary,"Spain W. Hall, Jr.",ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Information Management,,1996
"Washington, DC",Deputy Assistant Secretary,Richard H. Hopf,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Procurement and Assistance Management,,1996
"Washington, DC",Deputy Assistant Secretary,Robert Alvarez,ES,NA,..........,..........,........,Department of Energy,Dep Asst Sec for National Security & Environmental Restoration Policy,,1996
"Washington, DC",Deputy Assistant Secretary,Dan M. Berkovitz,ES,NA,..........,..........,........,Department of Energy,"Deputy Assistant Secretary for Planning, Policy, and Budget",,1996
"Washington, DC",Deputy Assistant Secretary,Jill E. Lytle,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Material and Facility Stabilization,,1996
"Germantown, MD",Deputy Assistant Secretary,George Rudins,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary Coal Technology,,1996
"Washington, DC",Deputy Assistant Secretary for Communications,Carmen E. MacDougall,ES,TA,..........,..........,04/15/1997,Department of Energy,"Immediate Office of the Asst Secy for Cong, Public & Intergovnt'l Aff",,1996
"Washington, DC",Deputy Asst Secretary,Gilbert G. Weigand,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Strategic Computing and Simulation,,1996
"Washington, DC",Deputy Assistant Secretary,Abraham E. Haspel,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Economic and Environmental Policy,,1996
"Washington, DC",Deputy Assistant Secretary,James M. Owendoff,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Environmental Restoration,,1996
"Washington, DC",Deputy Assistant Secretary for Facility Transition & Management,Willis W. Bixby,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Material and Facility Stabilization,,1996
"Washington, DC",Deputy Assistant Secretary for House Liaison,Melanie A. Kenderdine,ES,NA,..........,..........,........,Department of Energy,"Immediate Office of the Asst Secy for Cong, Public & Intergovnt'l Aff",,1996
"Washington, DC",Deputy Assistant Secretary,Denise F. Swink,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Industrial Technologies,,1996
"Washington, DC",Deputy Assistant Secretary for Intergovernmental Affairs,Robert M. Alcock,ES,NA,..........,..........,........,Department of Energy,"Immediate Office of the Asst Secy for Cong, Public & Intergovnt'l Aff",,1996
"Washington, DC",Deputy Assistant Secretary,David J. Jhirad,ES,NA,..........,..........,........,Department of Energy,Deputy Asssistant Secretary for International Energy Policy,,1996
"Washington, DC",Deputy Assistant Secretary for Management and Finance,Gail M. Pesyna,ES,NA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Management and Evaluation,,1996
"Germantown, MD",Deputy Assistant Secretary,Glenn S. Podonsky,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Oversight,,1996
"Washington, DC",Deputy Assistant Secretary for Oversight & Self-Assessment,Randal S. Scott,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Management and Evaluation,,1996
"Germantown, MD",Deputy Assistant Secretary for Planning and Administration, Vacant,ES,..........,..........,..........,........,Department of Energy,"Immediate Office of the Asst Secy for Environment, Safety & Health",,1996
"Germantown, MD",Deputy Assistant Secretary,David B. Leclaire,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Program Support,,1996
"Germantown, MD",Deputy Assistant Secretary for Safety and Quality Assurance,"Joseph E. Fitzgerald, Jr",ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Worker Health and Safety,,1996
"Washington, DC",Deputy Assistant Secretary,Jessie J. Harris,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Science and Technology Policy,,1996
"Washington, DC",Deputy Assistant Secretary for Senate Liaison,Mary L. Wagner,ES,NA,..........,..........,........,Department of Energy,"Immediate Office of the Asst Secy for Cong, Public & Intergovnt'l Aff",,1996
"Washington, DC",Deputy Assistant Secretary for Technology Development,Clyde W. Frank,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Science and Technology,,1996
"Washington, DC",Deputy Assistant Secretary for Transportation Technologies,Thomas J. Gross,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Transportation Technologies,,1996
"Washington, DC",Deputy Assistant Secretary,Stephen P. Cowan,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Waste Management,,1996
"Washington, DC",Deputy Associate Deputy Secretary for Field Management,Franklin G. Peters,ES,CA,..........,..........,........,Department of Energy,Immediate Office of the Associate Deputy Secretary for Field Mgmt,,1996
"Washington, DC",Deputy Associate Director,John C. Wooley,ES,CA,..........,..........,........,Department of Energy,Office of Health and Environmental Research,,1996
"Germantown, MD",Deputy Associate Director,Robert M. Simon,ES,CA,..........,..........,........,Department of Energy,Office of High Energy and Nuclear Physics,,1996
"Washington, DC",Deputy Chief of Staff,Jonathan S. Miller,ES,NA,..........,..........,........,Department of Energy,Immediate Office of the Secretary,,1996
"Washington, DC",Deputy Director,Lake H. Barrett,ES,CA,..........,..........,........,Department of Energy,Immediate Office of the Director for Civilian Radioactive Waste Mgmt,,1996
"Germantown, MD",Deputy Director for Program Analysis,Walter L. Warnick,ES,CA,..........,..........,........,Department of Energy,Office of Planning and Analysis,,1996
"Washington, DC",Deputy Director,Percy P. McCraney,ES,NA,..........,..........,........,Department of Energy,Office of Small and Disadvantaged Business Utilization,,1996
"Arlington, VA",Deputy Director for Submarine System Division,Robert L. Kingsbury,ES,CA,..........,..........,........,Department of Energy,Office of Naval Reactors,,1996
"Washington, DC",Deputy Director,James F. Decker,ES,CA,..........,..........,........,Department of Energy,Immediate Office of the Director Energy Research,,1996
"Morgantown, WV",Deputy Director,Rita A. Bajura,ES,CA,..........,..........,........,Department of Energy,Morgantown Energy Technology Center,,1996
"Germantown, MD","Deputy Director, Office of Declassification",Roger K. Heusser,ES,CA,..........,..........,........,Department of Energy,Office of Security Affairs,,1996
"Germantown, MD","Deputy Director, Office of Environment, Safety and Health Residents",Frederick J. Volpe,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Oversight,,1996
"Washington, DC",Deputy Director,James C. Bresee,ES,CA,..........,..........,........,Department of Energy,Office of Human Resources and Administration,,1996
"Germantown, MD","Deputy Director, Office of Nuclear Energy",Ray A. Hunter,ES,CA,..........,..........,........,Department of Energy,"Immediate Office of the Director Nuclear Energy, Sci and Technology",,1996
"Germantown, MD","Deputy Director, Office of Safeguards and Security",Owen B. Johnson,ES,CA,..........,..........,........,Department of Energy,Office of Security Affairs,,1996
"Washington, DC",Deputy Director,Dwight E. Shelor,ES,CA,..........,..........,........,Department of Energy,"Office of Waste Acceptance, Storage and Transportation",,1996
"Washington, DC","Deputy Director, Performance Assessment Division",Mark H. Williams,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Nuclear and Facility Management,,1996
"Pittsburgh, PA",Deputy Director,Thomas M. Torkos,ES,CA,..........,..........,........,Department of Energy,Pittsburgh Energy Technology Center,,1996
"Germantown, MD","Deputy Director, Risk and Policy Analysis Division",Sarbeswar Acharya,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Nuclear and Facility Management,,1996
"Washington, DC",Deputy Director,Vickie L. Bandy,GS,SC,14,..........,........,Department of Energy,Office of Scheduling and Logistics,,1996
"Washington, DC",Deputy General Counsel,Eric J. Fygi,ES,CA,..........,..........,........,Department of Energy,Immediate Office of the General Counsel,,1996
"Washington, DC",Deputy General Counsel,Douglas W. Smith,ES,NA,..........,..........,........,Department of Energy,Deputy General Counsel for Energy Policy,,1996
"Washington, DC",Deputy General Counsel,Mary A. Sullivan,ES,NA,..........,..........,........,Department of Energy,Deputy General Counsel for Environment & Civil Defense Nuclear Prog,,1996
"Washington, DC",Deputy General Counsel,Marc Johnston,ES,CA,..........,..........,........,Department of Energy,"Deputy General Counsel, Litigation",,1996
"Washington, DC",Deputy General Counsel,Agnes P. Dover,ES,NA,..........,..........,........,Department of Energy,"Deputy General Counsel, Technology Transfer & Procurement",,1996
"Idaho Falls, ID",Deputy Manager,Warren E. Bergholz,ES,CA,..........,..........,........,Department of Energy,Idaho Operations Office,,1996
"Las Vegas, NV",Deputy Manager,Terry A. Vaeth,ES,CA,..........,..........,........,Department of Energy,Nevada Operations Office,,1996
"Aiken, SC",Deputy Manager,Ernest S. Chaput,ES,CA,..........,..........,........,Department of Energy,Savannah River Operations Office,,1996
"Oak Ridge, TN",Deputy Manager,Steven D. Richardson,ES,CA,..........,..........,........,Department of Energy,Oak Ridge Operations Office,,1996
"Richland, WA",Deputy Manager,Ronald D. Izatt,ES,CA,..........,..........,........,Department of Energy,Richland Operations Office,,1996
"Oakland, CA",Deputy Manager,Martin J. Domagala,ES,CA,..........,..........,........,Department of Energy,Oakland Operations Office,,1996
"Albuquerque, NM",Deputy Manager, Vacant,ES,..........,..........,..........,........,Department of Energy,Albuquerque Operations Office,,1996
"Washington, DC",Deputy Secretary of Energy,Charles B. Curtis,EX,PAS,II,..........,........,Department of Energy,Office of the Deputy Secretary,,1996
"Washington, DC",Deputy Technical Director,Andre I. Cygelman,ES,CA,..........,..........,........,Department of Energy,Office of the Technical Director,,1996
"Washington, DC",Director,"Robert W. DeGrasse, Jr.",ES,NA,..........,..........,........,Department of Energy,Immediate Office of the Director Worker & Community Transition,,1996
"Washington, DC",Director,William A. Dorsey,ES,CA,..........,..........,........,Department of Energy,"Office of Planning, Management, and Information Services",,1996
"Washington, DC","Director, Economic Impact & Diversity",Corlis S. Moody,EX,PAS,IV,..........,........,Department of Energy,"Immediate Office of the Director, Economic Impact and Diversity",,1996
"Germantown, MD",Director Nuclear Physics Division,David L. Hendrie,ES,CA,..........,..........,........,Department of Energy,Office of High Energy and Nuclear Physics,,1996
"Washington, DC",Director of Business Management,Howard G. Borgstrom,ES,CA,..........,..........,........,Department of Energy,Immediate Office of Asst Secretary for Human Resources and Admin,,1996
"Washington, DC",Director of Country Studies Initiatives,John P. Millhone,ES,CA,..........,..........,........,Department of Energy,Immediate Office of the Assistant Secretary for Energy Efficiency,,1996
"Washington, DC",Director of Scientific Initiatives,Robert L. SanMartin,ES,CA,..........,..........,........,Department of Energy,Immediate Office of the Assistant Secretary for Energy Efficiency,,1996
"Germantown, MD",Director of Site Resident Programs,Thomas A. Rollow,ES,CA,..........,..........,........,Department of Energy,Deputy Assistant Secretary for Nuclear and Facility Management,,1996
"Washington, DC",Director of Special Projects,Mark J. Doyle,ES,NA,..........,..........,........,Department of Energy,Office of Scheduling and Logistics,,1996
